title,description,content,author,publishedAt,source,url,urlToImage,title_s,desc_s,content_s,title_l,desc_l,content_l
"The owner of a restaurant in New York state told a transgender cook he 'wasn't a real man' and asked about his genitalia, a federal agency claims","Some workers at the pizzeria even equated being transgender to pedophilia, the EEOC claimed. The restaurant is now paying $25,000 to the former cook.","Lourdes Balduque/Getty Images
<ul><li>Staff at a New York pizzeria, including its owners, repeatedly harassed a transgender cook, the EEOC claimed.</li><li>Some workers equated being transgender to … [+2416 chars]",Grace Dean,2024-01-29T14:33:43Z,business-insider,https://www.businessinsider.com/new-york-restaurant-transgender-cook-harassment-not-real-man-misgender-2024-1,https://i.insider.com/65b796ba6c8f0a134f7aa55e?width=1200&format=jpeg,the owner of a restaur in new york state told a transgend cook he wasnt a real man and ask about hi genitalia a feder agenc claim,some worker at the pizzeria even equat be transgend to pedophilia the eeoc claim the restaur is now pay 25000 to the former cook,lourd balduquegetti imagesullistaff at a new york pizzeria includ it owner repeatedli harass a transgend cook the eeoc claimedlilisom worker equat be transgend to  2416 char,The owner of a restaurant in New York state told a transgender cook he wasnt a real man and asked about his genitalia a federal agency claim,Some worker at the pizzeria even equated being transgender to pedophilia the EEOC claimed The restaurant is now paying 25000 to the former cook,Lourdes BalduqueGetty ImagesulliStaff at a New York pizzeria including it owner repeatedly harassed a transgender cook the EEOC claimedliliSome worker equated being transgender to  2416 char
"Ohio Senate overrides governor veto of trans care, sports ban HB 86","The Ohio Senate voted to override Gov. Mike DeWine’s veto against Ohio House Bill 68, which restricts transgender medical care and transgender participation in sports.",The Ohio Senate has voted to override Gov. Mike DeWines veto against Ohio House Bill 68 in a 23-9 vote. This bill would ban transgender minors from receiving gender-affirming medical care and prevent… [+5680 chars],"Kiara Alfonseca, Lilia Geho",2024-01-24T20:16:13Z,abc-news,https://abcnews.go.com/US/ohio-senate-overrides-governor-veto-trans-care-sports/story?id=106634032,https://i.abcnewsfe.com/a/46d2385c-3cff-40a4-9eef-138f0f4c269b/Kristina-Roegner-gty-bb-240124_1706108840342_hpMain_16x9.jpg?w=1600,ohio senat overrid governor veto of tran care sport ban hb 86,the ohio senat vote to overrid gov mike dewin veto against ohio hous bill 68 which restrict transgend medic care and transgend particip in sport,the ohio senat ha vote to overrid gov mike dewin veto against ohio hous bill 68 in a 239 vote thi bill would ban transgend minor from receiv genderaffirm medic care and prevent 5680 char,Ohio Senate override governor veto of trans care sport ban HB 86,The Ohio Senate voted to override Gov Mike DeWines veto against Ohio House Bill 68 which restricts transgender medical care and transgender participation in sport,The Ohio Senate ha voted to override Gov Mike DeWines veto against Ohio House Bill 68 in a 239 vote This bill would ban transgender minor from receiving genderaffirming medical care and prevent 5680 char
Wave of Transgender Killings in Mexico Spurs Outrage From LGBTQ+ Community,Authorities in Mexico said at least three transgender people were killed in the first two weeks of 2024.,"MEXICO CITY Authorities in Mexico said at least three transgender people were killed in the first two weeks of 2024, and rights groups were investigating two additional such cases. The slayings marke… [+4182 chars]",Megan Janetsky / AP,2024-01-16T04:15:00Z,time,https://time.com/6555824/transgender-lgbt-killings-mexico/,https://api.time.com/wp-content/uploads/2024/01/mexico-LGBT.jpg?quality=85,wave of transgend kill in mexico spur outrag from lgbtq commun,author in mexico said at least three transgend peopl were kill in the first two week of 2024,mexico citi author in mexico said at least three transgend peopl were kill in the first two week of 2024 and right group were investig two addit such case the slay mark 4182 char,Wave of Transgender Killings in Mexico Spurs Outrage From LGBTQ Community,Authorities in Mexico said at least three transgender people were killed in the first two week of 2024,MEXICO CITY Authorities in Mexico said at least three transgender people were killed in the first two week of 2024 and right group were investigating two additional such case The slaying marke 4182 char
Utah Joins 10 Other States in Regulating Bathroom Access for Transgender People,Utah became the latest state to regulate bathroom access for transgender people after Republican Gov. Spencer Cox signed a law Tuesday.,Utah became the latest state to regulate bathroom access for transgender people after Republican Gov. Spencer Cox signed a law Tuesday that requires people to use bathrooms and locker rooms in public… [+3847 chars],AMY BETH HANSON / AP,2024-01-31T16:25:37Z,time,https://time.com/6590528/utah-joins-states-regulating-bathroom-access-transgender-people/,https://api.time.com/wp-content/uploads/2024/01/AP24026835835725.jpg?quality=85,utah join 10 other state in regul bathroom access for transgend peopl,utah becam the latest state to regul bathroom access for transgend peopl afterrepublican gov spencer coxsign a law tuesday,utah becam the latest state to regul bathroom access for transgend peopl after republican gov spencer cox sign a law tuesday that requir peopl to use bathroom and locker room in public 3847 char,Utah Joins 10 Other States in Regulating Bathroom Access for Transgender People,Utah became the latest state to regulate bathroom access for transgender people afterRepublican Gov Spencer Coxsigned a law Tuesday,Utah became the latest state to regulate bathroom access for transgender people after Republican Gov Spencer Cox signed a law Tuesday that requires people to use bathroom and locker room in public 3847 char
Transgender Veterans Sue to Have Gender-Affirming Surgery Covered by Department of Veteran Affairs,Transgender veterans filed a lawsuit seeking to force the Department of Veteran Affairs to provide and pay for gender-affirming surgeries.,"A group of transgender veterans filed a lawsuit Thursday seeking to force the Department of Veteran Affairs to begin providing and paying for gender-affirming surgeries.
The lawsuit from the Transge… [+2748 chars]",PAT EATON-ROBB / AP,2024-01-25T20:04:28Z,time,https://time.com/6588724/transgender-veterans-lawsuit-surgery-va/,https://api.time.com/wp-content/uploads/2024/01/GettyImages-1255423564.jpg?quality=85,transgend veteran sue to have genderaffirm surgeri cover by depart of veteran affair,transgend veteran file a lawsuit seek to forc the depart of veteran affair to provid and pay for genderaffirm surgeri,a group of transgend veteran file a lawsuit thursday seek to forc the depart of veteran affair to begin provid and pay for genderaffirm surgeriesth lawsuit from the transg 2748 char,Transgender Veterans Sue to Have GenderAffirming Surgery Covered by Department of Veteran Affairs,Transgender veteran filed a lawsuit seeking to force the Department of Veteran Affairs to provide and pay for genderaffirming surgery,A group of transgender veteran filed a lawsuit Thursday seeking to force the Department of Veteran Affairs to begin providing and paying for genderaffirming surgeriesThe lawsuit from the Transge 2748 char
Killer was moved to Brianna Ghey's school after spiking younger girl,"Scarlett Jenkinson was moved after drugging a younger pupil with a cannabis sweet, BBC News finds.","Killer Scarlett Jenkinson was moved to a new school and met Brianna Ghey after drugging a younger pupil with a cannabis sweet, the BBC can reveal.
Jenkinson faced being expelled but was instead move… [+4595 chars]",https://www.facebook.com/bbcnews,2024-02-02T12:30:54Z,bbc-news,https://www.bbc.co.uk/news/uk-68153179,https://ichef.bbci.co.uk/news/1024/branded_news/10C68/production/_132521786_blur-scarlettinsta.jpg,killer wa move to brianna ghey school after spike younger girl,scarlett jenkinson wa move after drug a younger pupil with a cannabi sweet bbc new find,killer scarlett jenkinson wa move to a new school and met brianna ghey after drug a younger pupil with a cannabi sweet the bbc can revealjenkinson face be expel but wa instead move 4595 char,Killer wa moved to Brianna Gheys school after spiking younger girl,Scarlett Jenkinson wa moved after drugging a younger pupil with a cannabis sweet BBC News find,Killer Scarlett Jenkinson wa moved to a new school and met Brianna Ghey after drugging a younger pupil with a cannabis sweet the BBC can revealJenkinson faced being expelled but wa instead move 4595 char
South Dakota has apologized and must pay $300K to transgender advocates,,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 243 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]",,2024-02-06T18:31:04Z,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_61617b42-39b2-49ed-b813-a7331c47d889,,south dakota ha apolog and must pay 300k to transgend advoc,,si vou cliquez sur tout accept no partenair y compri 243 qui font parti du cadr de transpar et de consent diab et nou utiliseron galement de tmoin et vo donn person 982 char,South Dakota ha apologized and must pay 300K to transgender advocate,,Si vous cliquez sur Tout accepter no partenaires y compris 243 qui font partie du Cadre de transparence et de consentement dIAB et nous utiliserons galement de tmoins et vos donne person 982 char
Transgender candidate facing disqualification in Ohio now cleared to run despite omitting deadname,,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 244 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]",,2024-01-18T05:06:46Z,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_24904ae0-6e35-489b-9473-396b37939224,,transgend candid face disqualif in ohio now clear to run despit omit deadnam,,si vou cliquez sur tout accept no partenair y compri 244 qui font parti du cadr de transpar et de consent diab et nou utiliseron galement de tmoin et vo donn person 982 char,Transgender candidate facing disqualification in Ohio now cleared to run despite omitting deadname,,Si vous cliquez sur Tout accepter no partenaires y compris 244 qui font partie du Cadre de transparence et de consentement dIAB et nous utiliserons galement de tmoins et vos donne person 982 char
Slate of transgender deaths in first days of 2024 prompts outrage in Mexico,"The new year has begun with a slate of transgender deaths in Mexico, prompting protests, outrage and fear among the country's LGBTQ community.","The new year has begun with a slate of transgender deaths in Mexico, prompting protests, outrage and fear among the country's LGBTQ community.
At least three transgender women have been killed in ju… [+3506 chars]",Kiara Alfonseca,2024-01-16T19:48:05Z,abc-news,https://abcnews.go.com/International/slate-transgender-deaths-days-2024-prompts-outrage-mexico/story?id=106407774,https://i.abcnewsfe.com/a/ef3c7fa0-124c-41c9-8ae3-c06b8bcc8b6f/trans-protest-1-gty-bb-240116_1705417878435_hpMain_16x9.jpg?w=1600,slate of transgend death in first day of 2024 prompt outrag in mexico,the new year ha begun with a slate of transgend death in mexico prompt protest outrag and fear among the countri lgbtq commun,the new year ha begun with a slate of transgend death in mexico prompt protest outrag and fear among the countri lgbtq communityat least three transgend women have been kill in ju 3506 char,Slate of transgender death in first day of 2024 prompt outrage in Mexico,The new year ha begun with a slate of transgender death in Mexico prompting protest outrage and fear among the country LGBTQ community,The new year ha begun with a slate of transgender death in Mexico prompting protest outrage and fear among the country LGBTQ communityAt least three transgender woman have been killed in ju 3506 char
Thomas asks CAS to halt ban on trans swimmers,Transgender swimmer Lia Thomas has asked a Swiss sports court to overturn rules imposed by World Aquatics that stop her from competing in elite women's races that she says are discriminatory.,"Jan 26, 2024, 02:10 PM ET
LAUSANNE, Switzerland -- Transgender swimmer Lia Thomas has asked a Swiss sports court to overturn rules imposed by World Aquatics that stop her from competing in elite wom… [+2142 chars]",,2024-01-26T19:14:45Z,espn,https://www.espn.com/olympics/swimming/story/_/id/39394776/transgender-swimmer-lia-thomas-asks-cas-end-race-ban-rules,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2022%2F0123%2Fr964818_1296x729_16%2D9.jpg,thoma ask ca to halt ban on tran swimmer,transgend swimmer lia thoma ha ask a swiss sport court to overturn rule impos by world aquat that stop her from compet in elit women race that she say are discriminatori,jan 26 2024 0210 pm etlausann switzerland  transgend swimmer lia thoma ha ask a swiss sport court to overturn rule impos by world aquat that stop her from compet in elit wom 2142 char,Thomas asks CAS to halt ban on trans swimmer,Transgender swimmer Lia Thomas ha asked a Swiss sport court to overturn rule imposed by World Aquatics that stop her from competing in elite woman race that she say are discriminatory,Jan 26 2024 0210 PM ETLAUSANNE Switzerland  Transgender swimmer Lia Thomas ha asked a Swiss sport court to overturn rule imposed by World Aquatics that stop her from competing in elite wom 2142 char
