title,description,content,author,publishedAt,source,url,urlToImage
The owner of a restaurant in New York state told a transgender cook he wasnt a real man and asked about his genitalia a federal agency claim,Some worker at the pizzeria even equated being transgender to pedophilia the EEOC claimed The restaurant is now paying 25000 to the former cook,Lourdes BalduqueGetty ImagesulliStaff at a New York pizzeria including it owner repeatedly harassed a transgender cook the EEOC claimedliliSome worker equated being transgender to  2416 char,Grace Dean,2024-01-29T14:33:43Z,business-insider,https://www.businessinsider.com/new-york-restaurant-transgender-cook-harassment-not-real-man-misgender-2024-1,https://i.insider.com/65b796ba6c8f0a134f7aa55e?width=1200&format=jpeg
Ohio Senate override governor veto of trans care sport ban HB 86,The Ohio Senate voted to override Gov Mike DeWines veto against Ohio House Bill 68 which restricts transgender medical care and transgender participation in sport,The Ohio Senate ha voted to override Gov Mike DeWines veto against Ohio House Bill 68 in a 239 vote This bill would ban transgender minor from receiving genderaffirming medical care and prevent 5680 char,"Kiara Alfonseca, Lilia Geho",2024-01-24T20:16:13Z,abc-news,https://abcnews.go.com/US/ohio-senate-overrides-governor-veto-trans-care-sports/story?id=106634032,https://i.abcnewsfe.com/a/46d2385c-3cff-40a4-9eef-138f0f4c269b/Kristina-Roegner-gty-bb-240124_1706108840342_hpMain_16x9.jpg?w=1600
Wave of Transgender Killings in Mexico Spurs Outrage From LGBTQ Community,Authorities in Mexico said at least three transgender people were killed in the first two week of 2024,MEXICO CITY Authorities in Mexico said at least three transgender people were killed in the first two week of 2024 and right group were investigating two additional such case The slaying marke 4182 char,Megan Janetsky / AP,2024-01-16T04:15:00Z,time,https://time.com/6555824/transgender-lgbt-killings-mexico/,https://api.time.com/wp-content/uploads/2024/01/mexico-LGBT.jpg?quality=85
Utah Joins 10 Other States in Regulating Bathroom Access for Transgender People,Utah became the latest state to regulate bathroom access for transgender people afterRepublican Gov Spencer Coxsigned a law Tuesday,Utah became the latest state to regulate bathroom access for transgender people after Republican Gov Spencer Cox signed a law Tuesday that requires people to use bathroom and locker room in public 3847 char,AMY BETH HANSON / AP,2024-01-31T16:25:37Z,time,https://time.com/6590528/utah-joins-states-regulating-bathroom-access-transgender-people/,https://api.time.com/wp-content/uploads/2024/01/AP24026835835725.jpg?quality=85
Transgender Veterans Sue to Have GenderAffirming Surgery Covered by Department of Veteran Affairs,Transgender veteran filed a lawsuit seeking to force the Department of Veteran Affairs to provide and pay for genderaffirming surgery,A group of transgender veteran filed a lawsuit Thursday seeking to force the Department of Veteran Affairs to begin providing and paying for genderaffirming surgeriesThe lawsuit from the Transge 2748 char,PAT EATON-ROBB / AP,2024-01-25T20:04:28Z,time,https://time.com/6588724/transgender-veterans-lawsuit-surgery-va/,https://api.time.com/wp-content/uploads/2024/01/GettyImages-1255423564.jpg?quality=85
Killer wa moved to Brianna Gheys school after spiking younger girl,Scarlett Jenkinson wa moved after drugging a younger pupil with a cannabis sweet BBC News find,Killer Scarlett Jenkinson wa moved to a new school and met Brianna Ghey after drugging a younger pupil with a cannabis sweet the BBC can revealJenkinson faced being expelled but wa instead move 4595 char,https://www.facebook.com/bbcnews,2024-02-02T12:30:54Z,bbc-news,https://www.bbc.co.uk/news/uk-68153179,https://ichef.bbci.co.uk/news/1024/branded_news/10C68/production/_132521786_blur-scarlettinsta.jpg
South Dakota ha apologized and must pay 300K to transgender advocate,,Si vous cliquez sur Tout accepter no partenaires y compris 243 qui font partie du Cadre de transparence et de consentement dIAB et nous utiliserons galement de tmoins et vos donne person 982 char,,2024-02-06T18:31:04Z,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_61617b42-39b2-49ed-b813-a7331c47d889,
Transgender candidate facing disqualification in Ohio now cleared to run despite omitting deadname,,Si vous cliquez sur Tout accepter no partenaires y compris 244 qui font partie du Cadre de transparence et de consentement dIAB et nous utiliserons galement de tmoins et vos donne person 982 char,,2024-01-18T05:06:46Z,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_24904ae0-6e35-489b-9473-396b37939224,
Slate of transgender death in first day of 2024 prompt outrage in Mexico,The new year ha begun with a slate of transgender death in Mexico prompting protest outrage and fear among the country LGBTQ community,The new year ha begun with a slate of transgender death in Mexico prompting protest outrage and fear among the country LGBTQ communityAt least three transgender woman have been killed in ju 3506 char,Kiara Alfonseca,2024-01-16T19:48:05Z,abc-news,https://abcnews.go.com/International/slate-transgender-deaths-days-2024-prompts-outrage-mexico/story?id=106407774,https://i.abcnewsfe.com/a/ef3c7fa0-124c-41c9-8ae3-c06b8bcc8b6f/trans-protest-1-gty-bb-240116_1705417878435_hpMain_16x9.jpg?w=1600
Thomas asks CAS to halt ban on trans swimmer,Transgender swimmer Lia Thomas ha asked a Swiss sport court to overturn rule imposed by World Aquatics that stop her from competing in elite woman race that she say are discriminatory,Jan 26 2024 0210 PM ETLAUSANNE Switzerland  Transgender swimmer Lia Thomas ha asked a Swiss sport court to overturn rule imposed by World Aquatics that stop her from competing in elite wom 2142 char,,2024-01-26T19:14:45Z,espn,https://www.espn.com/olympics/swimming/story/_/id/39394776/transgender-swimmer-lia-thomas-asks-cas-end-race-ban-rules,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2022%2F0123%2Fr964818_1296x729_16%2D9.jpg
