,bias,factuality,owner,source,owner_type,said,news,transgender,gender,school,state,trans,people,sunak,sex,year,right,share,lgbtq,marriage,brianna,ghey,press,nginx,minister,policy,student,alberta,forbidden,new,child,woman,cline,law,greece,health,say,comment,associated,care,court,church,orthodox,prime,mother,smith,community,feb,board,public,surgery,february,youth,star,change,country,support,life,day,family,weather,javascript,department,parent,district,government,time,group,privacy,colorado,issue,email,parliament,business,couple,member,rule,report,party,world,daily,vote,story,leader,city,man,think,sports,girl,just,video,legal,contact,social,read,labour,post,wednesday,house,game,week,education,free,affirming,police,national,like,japan,daughter,politics,identity,sign,twitter,biden,utah,home,proposed,use,case,facebook,browser,told,apologise,civil,parkrun,old
0,Center,High Factuality,Government of the United Kingdom,https://www.bbc.co.uk/news/world-europe-68310126?utm_source=ground.news&utm_medium=referral,Government,0.041195084086718126,0.02090857964346487,0.0,0.0,0.0,0.0,0.0,0.022219368508368354,0.0,0.25399576246783434,0.0,0.024031516789964888,0.0,0.031876697752496144,0.21359841430976653,0.0,0.0,0.0,0.0,0.0761613038222227,0.0,0.0,0.0,0.0,0.023954801758139924,0.05815933855600403,0.0,0.0,0.06532573913179661,0.09573889087231133,0.0,0.0,0.0,0.0,0.0,0.0,0.12739251639731802,0.1651891575254898,0.07540721535556448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12166002688173791,0.028659016186981478,0.06036857063020581,0.05473190017430262,0.0,0.0,0.06315144700481216,0.0,0.035454344583466864,0.0,0.0,0.0,0.028763111174192946,0.0,0.0,0.0,0.0,0.17191795235979657,0.0,0.04297948808994914,0.06349894061695859,0.0,0.0,0.07189023492021744,0.0,0.0,0.11599213104565949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09486984440227475,0.0,0.0,0.03200498103799326,0.02835087215242816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044064708833180546,0.0610633435625378,0.0,0.0,0.0,0.0
1,Lean Left,Mixed Factuality,Scott Trust Limited,https://www.theguardian.com/world/2024/feb/15/greece-becomes-first-orthodox-christian-country-to-legalise-same-sex-marriage?utm_source=ground.news&utm_medium=referral,Independent,0.08498161088981042,0.0,0.0,0.0,0.0,0.0350492822607239,0.016531986658966553,0.03928841311302262,0.0,0.14970558143202967,0.025872582922250042,0.09914954923445286,0.0,0.03757637154891388,0.12589530823866665,0.0,0.0,0.0,0.0,0.04488961611228147,0.029258338488185587,0.0,0.0,0.0,0.028238010669532257,0.05141883574926644,0.016710057516104767,0.0,0.09625778461994206,0.1128573656854773,0.01707699309835039,0.01402924104054195,0.0,0.0,0.0,0.0,0.0500569262837342,0.16227133498439322,0.04444515494782974,0.0,0.026659771966268727,0.03415398619670078,0.05141883574926644,0.0,0.015962363551142396,0.0,0.0,0.0,0.0,0.0,0.10755997394055002,0.0,0.03558134938396859,0.016129542593277348,0.016242724199881074,0.0,0.0,0.0,0.0,0.0,0.018347244785877858,0.0,0.06781212789204655,0.03159639381698873,0.0,0.016953031973011637,0.016242724199881074,0.07599657401731248,0.0,0.15199314803462496,0.0,0.0,0.0,0.16948896018498394,0.01772343451841647,0.0,0.11394330133053347,0.01659095775264133,0.08209971313430758,0.0,0.0,0.0,0.0,0.0,0.016473394803243304,0.0,0.0,0.0,0.01886379618486994,0.0,0.0,0.0,0.0,0.0,0.0,0.03427922383284429,0.0,0.0,0.0,0.0,0.0,0.014870854560259604,0.0,0.0,0.0,0.0,0.01949239038636888,0.0,0.0,0.0,0.0,0.0,0.01677019636260602,0.0,0.0,0.0,0.03599084986061993,0.03391514922888275,0.01973976310653527,0.0,0.018940039325736707
2,Lean Left,High Factuality,The Hindu Group,https://www.thehindu.com/news/international/greece-legalises-same-sex-marriage-in-landmark-change/article67851163.ece?utm_source=ground.news&utm_medium=referral,Independent,0.06165203161086278,0.0,0.017043489794296034,0.0,0.0,0.0,0.0,0.0,0.0,0.21382131526536352,0.03284734480886205,0.14386103251281682,0.02113892434971214,0.023853127394397516,0.2557349059093522,0.0,0.0,0.0,0.0,0.05699101257916953,0.0,0.0,0.0,0.0,0.03585044740085759,0.0652803870646369,0.0,0.0,0.12220707346653442,0.21492238421058577,0.0,0.0,0.0,0.0,0.0,0.024241976010637965,0.06355133241449916,0.08240665431579842,0.05642673304176243,0.0,0.0,0.06504188804253608,0.0,0.0,0.0,0.0,0.019651186942462685,0.0,0.0,0.0709904928667502,0.09103741367904643,0.04289071405162344,0.0,0.020477764000708908,0.0,0.0,0.0,0.0,0.026530257450148812,0.0,0.023293317006090223,0.0,0.043046501267121874,0.0,0.0,0.021523250633560937,0.020621457240355898,0.19296764289367496,0.0,0.16080636907806242,0.04751584783674745,0.0,0.0,0.08069249888803953,0.0,0.0,0.08679616377022967,0.0,0.0,0.0,0.0,0.04828706305347326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636443244947972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025493699537955702,0.0,0.0,0.0,0.0,0.0,0.0,0.023384757458872755,0.0,0.0,0.0,0.0,0.0,0.0,0.0251678425801475,0.0,0.02284665313255387,0.0,0.07518369624951568,0.0,0.024045917807876
3,Center,High Factuality,Bell Media,https://www.ctvnews.ca/world/greece-becomes-first-orthodox-christian-country-to-legalize-same-sex-civil-marriage-1.6770770?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.07114019679979823,0.026259805307381635,0.00715144002670592,0.0,0.034732733815612093,0.009335650641080369,0.0,0.03488258773624357,0.0,0.10965694650749808,0.13093593407726686,0.07545502407462601,0.008869882373892307,0.0,0.10730624211469207,0.0,0.0,0.01932109267613681,0.0,0.059783502885890016,0.0,0.06867195344364589,0.0,0.0,0.052649906013534975,0.05478323731201347,0.08011538279274434,0.0,0.07178924000874017,0.1503022131059335,0.0818746337470606,0.022420788900565876,0.0,0.012016994190632827,0.0,0.02034384268261085,0.05333221633185068,0.05186668809501821,0.0591915743373989,0.01213987603170095,0.0,0.0,0.009130539552002244,0.0,0.017006801841003248,0.0,0.0,0.0,0.0,0.0,0.07639850898728555,0.01799692275143273,0.009477370883545456,0.017184919626157587,0.04326376713266809,0.0,0.0,0.0,0.03339624936049849,0.0,0.04886932242241056,0.02376581098742873,0.0,0.0,0.03572112929672916,0.018062290991271584,0.0,0.053979419391395854,0.020017521302180673,0.0674742742392448,0.009968813318863462,0.02533019722969941,0.02811208393520293,0.0790032443193615,0.009441550990584153,0.0,0.06069938015850475,0.03535305156377473,0.0328018517121119,0.059575152545667705,0.10837837064287834,0.0,0.0,0.024033988381265654,0.017551270535203483,0.009929192090944618,0.054669752853519826,0.0,0.0,0.0,0.0,0.0,0.01047135561089715,0.08520910515438838,0.0,0.0,0.011132083120166163,0.0,0.0,0.02367662973495956,0.0,0.015843873991619153,0.0,0.029405780199124754,0.010130614083749755,0.0,0.051919507353396795,0.0,0.0,0.0,0.029207391139387442,0.013494854847848963,0.0,0.05559787618822371,0.0,0.0,0.019172889080860973,0.0,0.06309408474483076,0.0,0.04035862165920412
4,Lean Left,Mixed Factuality,Evgeny Lebedev,https://www.independent.co.uk/news/world/europe/greece-same-sex-marriage-ukraine-russia-b2497280.html?utm_source=ground.news&utm_medium=referral,Individual,0.029956707222096996,0.015204537451378066,0.0,0.012774535672344487,0.0,0.007207174521099111,0.0,0.026929552875123993,0.0,0.26166330811472166,0.02660086147344879,0.15727959189450824,0.006847598813194749,0.07726819214388449,0.3313640768521314,0.0,0.0,0.08949594980075204,0.0,0.027691919203911806,0.0,0.0,0.0,0.014663807371480368,0.011613149137267062,0.0,0.03436084650187744,0.0,0.07125646486552246,0.10443073441455174,0.0,0.005769658153089016,0.0,0.11132624089828046,0.0,0.047116681080000354,0.15439788511201924,0.3737194847475074,0.027417735913404528,0.0,0.010964083533825603,0.007023075031315879,0.0,0.0,0.019694019242938732,0.0,0.012731342632096422,0.0,0.0,0.015330783681655297,0.1843127385386117,0.0,0.0,0.0,0.020039922153465232,0.0,0.0,0.0,0.0,0.0,0.03018191223877378,0.006115779678248963,0.01394418969066153,0.01299431599097809,0.0,0.01394418969066153,0.013359948102310155,0.03125431030935381,0.0,0.07292672405515889,0.023087938951298972,0.009777526982692351,0.007234228688223038,0.01742598473723451,0.021866790550054725,0.0,0.04686026105131308,0.006823188395470369,0.0,0.0,0.03346748337382924,0.01564178149216595,0.0,0.0,0.0,0.0,0.02532321302428748,0.0,0.015515829422521624,0.013744338600750975,0.0,0.0,0.0,0.008222738232780719,0.0,0.007048827612883224,0.0,0.025100612530371928,0.0,0.01827849060893635,0.008258254952429791,0.01834733903474689,0.0,0.0,0.0,0.007575098655594778,0.040082150128758015,0.0,0.0,0.0,0.0,0.0,0.0,0.007153645241174419,0.0,0.021362315603220862,0.0,0.0,0.06494531518478627,0.0,0.0
5,Center,High Factuality,The Woodbridge Company,https://www.reuters.com/world/europe/yes-equality-says-greek-pm-ahead-same-sex-marriage-vote-2024-02-15/?utm_source=ground.news&utm_medium=referral,Private Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lean Left,High Factuality,Independent Media,https://apnews.com/article/transgender-athlete-utah-school-board-censure-63e25c6c71d9f18586bd8a036dc29a52?utm_source=ground.news&utm_medium=referral,Independent,0.07169862303249405,0.009097665432882335,0.039641670127998886,0.05732751751527829,0.0721985836814198,0.12937281923708416,0.012204470869048792,0.019336022270861314,0.0,0.0,0.0,0.031369519593569754,0.024583646777916943,0.027740146504687604,0.0,0.0,0.0,0.0,0.0,0.0,0.010799746791537513,0.12688684215078447,0.0,0.0,0.0,0.012653040354791322,0.0,0.5303340446853846,0.014212149483874469,0.0,0.0,0.031070578592795915,0.08955561826158161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05061216141916529,0.3048333299635809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02494001461129473,0.0,0.011907373068436814,0.011990927552795058,0.0,0.0,0.0,0.015426765981366958,0.0,0.013544555723138433,0.010978167054115869,0.0,0.011662762493740661,0.02475105046837661,0.0,0.011990927552795058,0.0,0.0,0.0,0.12433243057007529,0.0,0.0,0.0,0.0,0.0,0.033646717251795175,0.0,0.060608780903017925,0.06879903838193581,0.0,0.014038936920479531,0.0,0.0832653489814994,0.0,0.0,0.0,0.0,0.0696294570541078,0.049343715158352036,0.0,0.06435551513345289,0.029022268478098284,0.08856165399428975,0.0,0.0,0.07713382990683479,0.0,0.0,0.0,0.044472090500100245,0.010978167054115869,0.0,0.020375166297924692,0.014038936920479531,0.013597726351767158,0.0,0.0,0.0,0.24476479712764126,0.0,0.0,0.012380325317081255,0.0,0.04390365436174542,0.0,0.0,0.0,0.0,0.0,0.0
7,Center,High Factuality,Nexstar Media Group,https://thehill.com/homenews/lgbtq/4471326-utah-board-education-member-censured-questioning-student-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Center,High Factuality,News-Press & Gazette Company,https://kvia.com/news/ap-national/2024/02/15/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.07157981665111278,0.0,0.0,0.09157203905458232,0.09610526513726614,0.10332675623554063,0.0,0.0,0.0,0.0,0.0,0.0,0.09817164428284854,0.0,0.0,0.0,0.0,0.10692269397735549,0.0,0.0,0.0431274053821844,0.1900148812999297,0.0,0.0,0.0,0.0,0.0,0.33439280092598944,0.0,0.0,0.0,0.0,0.05108984137143734,0.13300380200128537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05052829582317789,0.3804102670502547,0.0,0.0,0.04563120862574721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046573748038039105,0.0,0.0,0.0,0.0,0.0,0.0,0.1655018782338368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05494802934689533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05561126346530557,0.0,0.0,0.06424887646242196,0.05794835573118766,0.0,0.0,0.0,0.061604813803212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054300778339376736,0.0,0.19548737267217148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Lean Right,Mixed Factuality,Deseret Management Corporation,https://mynorthwest.com/3950995/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
