,bias,factuality,owner,source,owner_type,transgender,trans,gender,lgbtq,sex,marriage,school,sunak,right,alberta,greece,say,time,ghey,brianna,policy,member,college,board,mother,senate,utah,student,youth,rally,initiative,new,state,surgery,jibe,girl,people,game,legal,japan,orthodox,country,proposed,survey,rishi,affirming,plan,leader,activist,vote,community,change,diversity,recognition,support,questioned,kentucky,shooter,remark,inclusion,equity,group
0,Center,High Factuality,Government of the United Kingdom,https://www.bbc.co.uk/news/world-europe-68310126?utm_source=ground.news&utm_medium=referral,Government,0.0,0.0,0.0,0.0,0.3984715705437456,0.42065873205925164,0.0,0.0,0.0,0.0,0.4700007846431085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Lean Left,Mixed Factuality,Scott Trust Limited,https://www.theguardian.com/world/2024/feb/15/greece-becomes-first-orthodox-christian-country-to-legalise-same-sex-marriage?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.0,0.28216175890565265,0.2978727129137296,0.0,0.0,0.0,0.0,0.33281232059032745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3768310204207844,0.3768310204207844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Lean Left,High Factuality,The Hindu Group,https://www.thehindu.com/news/international/greece-legalises-same-sex-marriage-in-landmark-change/article67851163.ece?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.0,0.29818216055571756,0.31478514116049305,0.0,0.0,0.0,0.0,0.3517085277539992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40615012151232904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Center,High Factuality,Bell Media,https://www.ctvnews.ca/world/greece-becomes-first-orthodox-christian-country-to-legalize-same-sex-civil-marriage-1.6770770?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.2552154868938834,0.2694260545919658,0.0,0.0,0.0,0.0,0.3010289515247349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34084389297263756,0.34084389297263756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Lean Left,Mixed Factuality,Evgeny Lebedev,https://www.independent.co.uk/news/world/europe/greece-same-sex-marriage-ukraine-russia-b2497280.html?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.0,0.2552154868938834,0.2694260545919658,0.0,0.0,0.0,0.0,0.3010289515247349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34084389297263756,0.34084389297263756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Center,High Factuality,The Woodbridge Company,https://www.reuters.com/world/europe/yes-equality-says-greek-pm-ahead-same-sex-marriage-vote-2024-02-15/?utm_source=ground.news&utm_medium=referral,Private Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lean Left,High Factuality,Independent Media,https://apnews.com/article/transgender-athlete-utah-school-board-censure-63e25c6c71d9f18586bd8a036dc29a52?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.22048419560223398,0.0,0.0,0.0,0.25103626778044846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2948844527490431,0.0,0.2989584547129416,0.0,0.0,0.3032653801432908,0.30783348670652827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3360668934365207,0.0,0.0,0.0,0.0,0.0,0.0
7,Center,High Factuality,Nexstar Media Group,https://thehill.com/homenews/lgbtq/4471326-utah-board-education-member-censured-questioning-student-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.22741505800912254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3041540675726897,0.0,0.30835613471141865,0.0,0.0,0.3127984472041963,0.317510150989735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Center,High Factuality,News-Press & Gazette Company,https://kvia.com/news/ap-national/2024/02/15/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.22017290403174314,0.0,0.0,0.0,0.2506818411339758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29446811885191804,0.0,0.29853636891842505,0.0,0.0,0.30283721359737376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3355924159314003,0.0,0.0,0.0,0.0,0.0,0.0
9,Lean Right,Mixed Factuality,Deseret Management Corporation,https://mynorthwest.com/3950995/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Corporation,0.0,0.0,0.22017290403174314,0.0,0.0,0.0,0.2506818411339758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29446811885191804,0.0,0.29853636891842505,0.0,0.0,0.30283721359737376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3355924159314003,0.0,0.0,0.0,0.0,0.0,0.0
10,Center,High Factuality,Howard Buffett,https://www.local10.com/news/national/2024/02/15/utah-legislature-votes-to-reprimand-school-board-member-who-questioned-a-students-gender/?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.21623466207152928,0.0,0.0,0.0,0.2461978845374131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28920095527105943,0.0,0.29319643637815695,0.0,0.0,0.2974203516681171,0.30190041417922064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3295896603254696,0.0,0.0,0.0,0.0,0.0,0.3295896603254696,0.0,0.0,0.0,0.0,0.0,0.0
11,Center,High Factuality,Graham Holdings,https://www.news4jax.com/news/national/2024/02/15/utah-legislature-votes-to-reprimand-school-board-member-who-questioned-a-students-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.21768326003102578,0.0,0.0,0.0,0.2478472119382869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911383685871147,0.0,0.29516061619743383,0.0,0.0,0.299412828315532,0.3039229036347109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317976454137284,0.0,0.0,0.0,0.0,0.0,0.3317976454137284,0.0,0.0,0.0,0.0,0.0,0.0
12,Lean Left,High Factuality,Independent Media,https://apnews.com/article/same-sex-marriage-orthodox-church-greece-lgbtq-16b1f311b703d228301a5e5713069cd3?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.0,0.258489375066674,0.27288223503111375,0.0,0.0,0.0,0.0,0.30489053193295734,0.0,0.29049767196851756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345216216939149,0.345216216939149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Lean Left,High Factuality,The Walt Disney Company,https://abcnews.go.com/International/wireStory/greece-legalized-same-sex-marriage-orthodox-countries-join-107284602?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.258489375066674,0.27288223503111375,0.0,0.0,0.0,0.0,0.30489053193295734,0.0,0.29049767196851756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345216216939149,0.345216216939149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Center,High Factuality,,https://www.winnipegfreepress.com/arts-and-life/life/faith/2024/02/15/greece-just-legalized-same-sex-marriage-will-other-orthodox-countries-join-them-any-time-soon?utm_source=ground.news&utm_medium=referral,,0.0,0.0,0.0,0.0,0.258489375066674,0.27288223503111375,0.0,0.0,0.0,0.0,0.30489053193295734,0.0,0.29049767196851756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345216216939149,0.345216216939149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Center,High Factuality,Hubbard Broadcasting,https://wtop.com/europe/2024/02/greece-just-legalized-same-sex-marriage-will-other-orthodox-countries-join-them-any-time-soon/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.258489375066674,0.27288223503111375,0.0,0.0,0.0,0.0,0.30489053193295734,0.0,0.29049767196851756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345216216939149,0.345216216939149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
