,bias,factuality,owner,source,owner_type,transgend,state,gender,school,sex,lgbtq,new,legal,board,peopl,chang,marriag,year,vote,greec,say,tran,member,woman,polici,wednesday,said,alberta,minist,public,right,orthodox,youth,child,govern,social,thi,prime,propos,univers,identifi,train,utah,depart,educ,student,record,girl,post,surgeri,rule,game,group,plan,countri,report,becom,accord,question,day,lawmak,church,mother,court,parliament,offici,hous,alabama,christian,coupl,senat,gov,conserv,sunak,ghey,law,time,survey,health,face,commun,activist,leader
0,Center,High Factuality,Government of the United Kingdom,https://www.bbc.co.uk/news/world-europe-68310126?utm_source=ground.news&utm_medium=referral,Government,0.0,0.0,0.0,0.0,0.36185977025067545,0.0,0.0,0.19170223660106134,0.0,0.0,0.0,0.19342000788830802,0.0,0.2008549885030934,0.2167509019505282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2387886839577894,0.0,0.2141931001996993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22223515118331957,0.0,0.23158666343775133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24275860724717152,0.23507506873052958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Lean Left,Mixed Factuality,Scott Trust Limited,https://www.theguardian.com/world/2024/feb/15/greece-becomes-first-orthodox-christian-country-to-legalise-same-sex-marriage?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20744205029886403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095274618305224,0.0,0.0,0.0,0.21168872293272897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162623737254862,0.24278438188183912,0.0,0.0,0.22952337780366266,0.22952337780366266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Lean Left,High Factuality,The Hindu Group,https://www.thehindu.com/news/international/greece-legalises-same-sex-marriage-in-landmark-change/article67851163.ece?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.0,0.17910573180972142,0.0,0.0,0.0,0.0,0.0,0.0,0.19146992789764442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20082878250072017,0.0,0.0,0.2120335838011743,0.0,0.202900317334533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999455401720347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23270501822313844,0.0,0.0,0.21999455401720347,0.0,0.0,0.2229162677681844,0.0,0.0,0.0,0.0,0.23270501822313844,0.0,0.0
3,Center,High Factuality,Bell Media,https://www.ctvnews.ca/world/greece-becomes-first-orthodox-christian-country-to-legalize-same-sex-civil-marriage-1.6770770?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.2121804766941618,0.0,0.0,0.224813451449287,0.0,0.0,0.0,0.2268279198182193,0.0,0.0,0.25418857513723164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2800327693583436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2606200754707291,0.0,0.2715868006559139,0.0,0.0,0.0,0.0,0.2756777306723198,0.0,0.0,0.0,0.2606200754707291,0.0,0.0,0.28468838617585734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Lean Left,Mixed Factuality,Evgeny Lebedev,https://www.independent.co.uk/news/world/europe/greece-same-sex-marriage-ukraine-russia-b2497280.html?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.0,0.26558497423251526,0.0,0.0,0.2813975896394268,0.0,0.0,0.0,0.28391908708438857,0.0,0.0,0.3181662480442478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35051526414231093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33994349799703694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3563426705643358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Center,High Factuality,The Woodbridge Company,https://www.reuters.com/world/europe/yes-equality-says-greek-pm-ahead-same-sex-marriage-vote-2024-02-15/?utm_source=ground.news&utm_medium=referral,Private Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lean Left,High Factuality,Independent Media,https://apnews.com/article/transgender-athlete-utah-school-board-censure-63e25c6c71d9f18586bd8a036dc29a52?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.13634944844591274,0.14754629888652046,0.16919383216861067,0.0,0.0,0.0,0.0,0.19428703748601137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19428703748601137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1901781347318582,0.0,0.0,0.0,0.0,0.0,0.0,0.20893905225216455,0.0,0.19428703748601137,0.0,0.0,0.0,0.19219306768107694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20111198273773404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2118256680139484,0.2062005347442503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Center,High Factuality,Nexstar Media Group,https://thehill.com/homenews/lgbtq/4471326-utah-board-education-member-censured-questioning-student-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.08124420994294512,0.08791588539352345,0.0,0.0,0.0,0.0,0.0,0.5788324427644402,0.0,0.0,0.0,0.0,0.11104491885303373,0.0,0.0,0.0,0.34729946565866415,0.0,0.0,0.10244638370242097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12449693357717201,0.0,0.11576648855288804,0.11983315175688346,0.0,0.0,0.11451879063855608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11983315175688346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Center,High Factuality,News-Press & Gazette Company,https://kvia.com/news/ap-national/2024/02/15/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.06743388791386234,0.07297147655984602,0.08367762425310304,0.0,0.0,0.0,0.0,0.5765273182228615,0.0,0.0,0.0,0.0,0.1843378282981176,0.0,0.0,0.0,0.19217577274095385,0.0,0.0,0.08503200364211902,0.09127375692834523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09405576016145571,0.0,0.0,0.0,0.0,0.0,0.0,0.10333428401061821,0.0,0.09608788637047692,0.0,0.0,0.09608788637047692,0.09505227877007674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09946327657827435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Lean Right,Mixed Factuality,Deseret Management Corporation,https://mynorthwest.com/3950995/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Corporation,0.0,0.07198280095254254,0.07789394079027626,0.08932229709914954,0.0,0.0,0.0,0.0,0.5128486145861617,0.0,0.0,0.0,0.0,0.19677277423714476,0.0,0.0,0.0,0.20513944583446472,0.0,0.0,0.09076803936597977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1004005148092664,0.0,0.0,0.0,0.0,0.0,0.0,0.11030494351758627,0.0,0.10256972291723236,0.0,0.0,0.10256972291723236,0.10146425594697893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10617280808674541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
