,bias,factuality,owner,source,owner_type,said,new,transgend,thi,gender,school,state,tran,right,peopl,sunak,share,sex,year,lgbtq,marriag,brianna,ghey,student,report,press,say,polici,minist,nginx,alberta,child,forbidden,comment,support,rule,woman,cline,chang,greec,law,health,parent,polit,time,associ,legal,care,court,sport,church,commun,use,prime,orthodox,mother,smith,public,board,feb,surgeri,februari,youth,star,propos,stori,countri,famili,day,life,weather,vote,issu,pleas,video,depart,govern,group,javascript,email,affirm,news,district,game,colorado,privaci,busi,make,member,coupl,parliament,read,post,advertis,like,social,educ,nation,sign,athlet,parti,think,elect,world,need,daili,protest,follow,leader,citi,girl,includ,man,hous,just,murder,provid,polic,contact,identifi,labour,wednesday,survey,articl,week,ident,free,requir,japan,daughter,home,letter,event,plan,republican,biden,twitter,apologis,organ,legisl,colleg,hospit,becaus,case,parkrun,facebook,utah,told,live,want,ani,old,accord,respond,civil,onli,set,browser,campaign,ralli,record,file,question,subscrib,idaho,trump,starmer,kid
0,Center,High Factuality,Government of the United Kingdom,https://www.bbc.co.uk/news/world-europe-68310126?utm_source=ground.news&utm_medium=referral,Government,0.04164345899127017,0.02027123554875514,0.0,0.0845446099457351,0.0,0.0,0.0,0.0,0.04576334405595693,0.022461208219465303,0.0,0.0,0.2567602992633754,0.0,0.032223649618940274,0.2159232589059568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07699025752116317,0.0,0.0,0.058792355539752976,0.0,0.0,0.054377612368172484,0.0,0.0,0.0,0.0,0.09678093064498001,0.06576616965065679,0.0,0.03429181250002382,0.0,0.0,0.0,0.033999723707416316,0.0,0.0,0.0,0.12877908007710206,0.0,0.0,0.07622796141634235,0.16698710682892146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12298419708675724,0.027663806142802828,0.05513528804263986,0.06102563330392879,0.0,0.11054620264973364,0.0,0.0,0.09366967542029331,0.0,0.030628997822303283,0.029076174189192512,0.06383879901903551,0.0,0.0,0.027095514591006988,0.0,0.0,0.0,0.0,0.0,0.026280044594886393,0.0636818914099672,0.04344728477727863,0.17378913910911453,0.028354038649531683,0.0,0.0,0.0,0.030863984136595652,0.0,0.0,0.0,0.0,0.07267270151629775,0.0,0.0,0.0,0.05944574360652192,0.0,0.07660678533765203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033999723707416316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03146739097379113,0.0,0.0,0.0,0.0,0.061727968273191304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044544317263535985,0.0,0.0874288148862143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Lean Left,Mixed Factuality,Scott Trust Limited,https://www.theguardian.com/world/2024/feb/15/greece-becomes-first-orthodox-christian-country-to-legalise-same-sex-marriage?utm_source=ground.news&utm_medium=referral,Independent,0.08657020266992882,0.024080406277949464,0.0,0.08787747457754022,0.0,0.0,0.032634350606523886,0.016841025024331435,0.09513479585373501,0.04002284553283366,0.0,0.0,0.1525040816441418,0.02627569624446198,0.03827880016075414,0.12824871446066377,0.0,0.0,0.0,0.0,0.0,0.03989991397683611,0.02951598144958503,0.04572875383186536,0.0,0.0,0.052380026517001535,0.0,0.0,0.01614892929319811,0.0,0.017022424623970127,0.0,0.0,0.11496704896373652,0.09765537482430488,0.01739621946486812,0.020367795910164677,0.03344406429142938,0.0,0.0,0.0,0.0,0.0,0.0,0.05099265838859439,0.0344148807992314,0.014568569509375406,0.04527598419520373,0.1653047313416274,0.0,0.02715813266056481,0.015767824601247638,0.0,0.052380026517001535,0.0,0.0,0.0,0.0,0.0,0.01598367892075874,0.10957063117195107,0.01643105792715321,0.016373941947510816,0.03624648432981216,0.0,0.19697843275667476,0.016317175303261943,0.0,0.0,0.0,0.018192248560122574,0.06907976435873253,0.0,0.0324093462176448,0.0,0.0,0.0,0.0,0.0,0.032187036556912005,0.0,0.015609165739440007,0.018912091150191903,0.1548344105509969,0.07741720527549845,0.0,0.01861742140404762,0.0,0.014805956296154856,0.03666363974597748,0.0,0.036804801147189474,0.01833181987298874,0.0,0.17265727820286425,0.0,0.0,0.018054745046619212,0.0,0.0,0.0,0.01746000883900051,0.08289925468714136,0.0,0.0,0.031535649202495276,0.0,0.0,0.016781337890001326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03479243892973624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034154128006772685,0.0,0.13385065951292796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666363974597748,0.0,0.03479243892973624,0.0,0.019294092284640928,0.0,0.0,0.020024004110741615,0.033923126616344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023334417474623798
2,Lean Left,High Factuality,The Hindu Group,https://www.thehindu.com/news/international/greece-legalises-same-sex-marriage-in-landmark-change/article67851163.ece?utm_source=ground.news&utm_medium=referral,Independent,0.06218370406226132,0.030269832114676917,0.01719046879502896,0.03156136120937388,0.0,0.0,0.0,0.0,0.1366713674899883,0.0,0.0,0.02029971475126292,0.21566525941250766,0.03302938101772919,0.024058831089538466,0.2579403028894745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05748248951146114,0.0,0.0,0.06584334959015382,0.0,0.021094672354226664,0.08119885900505168,0.0,0.0,0.0,0.06239787534305337,0.21677582371433,0.12275589402054186,0.0,0.02560296348950088,0.0,0.0,0.023773096576779333,0.0,0.0,0.02445103304372444,0.0,0.06409938398411698,0.06489089004656486,0.01831315253196577,0.056913343761585626,0.08311730969514058,0.0,0.0,0.0,0.0,0.0,0.0,0.019820654102937398,0.0,0.0,0.0,0.0,0.09182249867357227,0.02065435936506182,0.020582562772642046,0.0,0.0,0.11004805264005335,0.02051120530585792,0.0,0.0,0.0,0.02286823167961414,0.04341772405175414,0.0,0.020369786490124064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047546193153558666,0.16219312494343066,0.19463174993211682,0.06350910290816669,0.0,0.0,0.0,0.04608735446627348,0.0,0.023132399405562717,0.0,0.0,0.08138837179883131,0.04850656816334216,0.0,0.0,0.0,0.0,0.02859809069652667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023586422043131623,0.0,0.0,0.0,0.0,0.0,0.023494193029641234,0.0,0.0,0.025384884066232797,0.0,0.02304367723313674,0.0,0.0,0.0,0.02425328408167108,0.0,0.0,0.07551241898075185,0.0,0.0,0.0,0.07850007586572322,0.06527612838955424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Center,High Factuality,Bell Media,https://www.ctvnews.ca/world/greece-becomes-first-orthodox-christian-country-to-legalize-same-sex-civil-marriage-1.6770770?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.07208428963114336,0.05103890458750772,0.007246345910674839,0.039912443947022556,0.0,0.05279050150279645,0.008646145167029762,0.0,0.07921575746411465,0.03534551028217401,0.0,0.008556994967945082,0.11111219040282028,0.13226818115175368,0.0,0.10873029010016733,0.0,0.0,0.06830013584307061,0.06337940905402553,0.01850341964634561,0.02114216719402164,0.0,0.06057688242441035,0.0,0.0,0.05551025893903683,0.0,0.0,0.04278497483972541,0.06618070868454053,0.08117858421722109,0.0,0.0,0.1522968553519755,0.07244388467555368,0.0829611819753026,0.04316995237196831,0.017721341437164608,0.0236898296403231,0.010021139226467076,0.0749039232889598,0.0,0.02061382332509792,0.0,0.054039981637312856,0.0,0.05403715726470728,0.05997709846471098,0.05255500455489423,0.012300982838408294,0.0,0.016710110412725243,0.0,0.009251709823172805,0.0,0.0,0.0,0.0,0.012493869703471765,0.04234716048691555,0.07741238423510548,0.04353244646996031,0.017352449355176713,0.009603143910802246,0.0,0.08118050560663108,0.025938435501089287,0.0,0.00982672716844821,0.0,0.06747796314589122,0.0,0.0,0.0,0.0,0.02558290133512769,0.0,0.0,0.03619518002492015,0.0,0.020202216436876412,0.008270985045582387,0.010021139226467076,0.06836971706165865,0.054695773649326915,0.0,0.0,0.0,0.015690760820307178,0.009713665070817517,0.01083910441021675,0.0,0.04856832535408758,0.0,0.08005168669048421,0.0,0.019807144483945324,0.009566848656432264,0.009354528578097206,0.0,0.04822012943167908,0.01850341964634561,0.0329449940143888,0.0596546987604394,0.023756638576546234,0.016710110412725243,0.10981664671462935,0.08212044977153378,0.017784191295036573,0.027516027146223924,0.009566848656432264,0.022978246321798665,0.0,0.0,0.0,0.010610319687627701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029796020703578674,0.029366250792985413,0.0,0.0,0.03383944689204019,0.0,0.0,0.0,0.0,0.012238332505239487,0.059103991721537734,0.0,0.06836971706165865,0.0,0.05633570878791459,0.0,0.0,0.0,0.019427330141635033,0.01014158568681431,0.018435818216733908,0.010434658705833016,0.040894215980072424,0.0,0.0,0.06366191812576621,0.035950373982414394,0.011995419692942195,0.0,0.011030118114090088,0.027516027146223924,0.01211537648488207,0.010886166823377622,0.0,0.0,0.0,0.0631302297254114,0.0,0.0
4,Lean Left,Mixed Factuality,Evgeny Lebedev,https://www.independent.co.uk/news/world/europe/greece-same-sex-marriage-ukraine-russia-b2497280.html?utm_source=ground.news&utm_medium=referral,Individual,0.029993773932889416,0.009733595161041931,0.0,0.020297800898241757,0.012790342149864317,0.0,0.006595602114867136,0.0,0.1702991630521127,0.026962873958806217,0.0,0.0065275950168755415,0.26198707527961623,0.026552395635066648,0.0773637993716888,0.3317740877492774,0.0,0.0,0.0,0.006043522233321547,0.0846905931330573,0.016128033934649722,0.0,0.02772618359594957,0.0,0.0,0.0,0.014681951525406385,0.0,0.013055190033751083,0.04207092811600283,0.034403362641933326,0.0,0.013376478935583606,0.10455995101374889,0.071052297505379,0.0,0.0,0.0,0.006023828633380588,0.09173398660134258,0.057139507296316526,0.0,0.047174980557915025,0.0,0.17520078528958655,0.006955458171027137,0.005888794235569461,0.0274516610467695,0.37418190379630084,0.0,0.01097764986174139,0.019120643497539582,0.0,0.0,0.0,0.01274709566502639,0.0,0.0,0.0,0.006460798792303155,0.18454079654659364,0.019924904598929847,0.0,0.0,0.0,0.053080730111149346,0.013191204229734271,0.0,0.0,0.0,0.02941411876683001,0.013961443430956361,0.0,0.019650382049749778,0.0,0.019515591618081914,0.0,0.0,0.0,0.013010394412054609,0.0,0.0,0.022933496650335644,0.07301695939943588,0.03129298259975823,0.013614697176760194,0.0,0.0,0.017954246647094753,0.02222983837762847,0.0,0.02975390283821239,0.03704973062938078,0.0,0.01744754665095685,0.015597816841690707,0.007554814401333253,0.021893847262104818,0.0,0.0,0.06437219913044931,0.07763304370530251,0.008377223529401484,0.0,0.0,0.019120643497539582,0.033508894117605936,0.007830567867579503,0.0,0.0,0.014595898174736546,0.017528663596109564,0.0,0.0,0.0,0.0,0.022894429368396262,0.008340622047144359,0.007031764981420516,0.0074099461258761564,0.02513167058820445,0.016325573513233292,0.0,0.0,0.0,0.0,0.008268473243302094,0.0,0.0,0.0,0.0,0.0,0.018671713276758338,0.027052038007563242,0.0,0.0,0.0,0.007162496751365452,0.0,0.0,0.0,0.0,0.015472759874337761,0.0,0.023879840911259626,0.0,0.007584471648060513,0.0,0.0647515817689419,0.013712143278189572,0.0,0.021388748106915288,0.0252425568696017,0.031485378165479395,0.0,0.049826245247555925,0.0,0.016903031010133185,0.0,0.0,0.0,0.0
5,Center,High Factuality,The Woodbridge Company,https://www.reuters.com/world/europe/yes-equality-says-greek-pm-ahead-same-sex-marriage-vote-2024-02-15/?utm_source=ground.news&utm_medium=referral,Private Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lean Left,High Factuality,Independent Media,https://apnews.com/article/transgender-athlete-utah-school-board-censure-63e25c6c71d9f18586bd8a036dc29a52?utm_source=ground.news&utm_medium=referral,Independent,0.07144281868252995,0.008694247793417967,0.03950023768160465,0.03626082814232947,0.05712298599524609,0.07194099558577975,0.11782655469987334,0.012160928097859198,0.02944155910879082,0.01926703574924224,0.0,0.0233223295741514,0.0,0.0,0.027641175982738745,0.0,0.0,0.0,0.12410262279055927,0.010796397214429397,0.0,0.038415712763487896,0.010656766070579452,0.0,0.0,0.0,0.012607897189886188,0.0,0.08482479553349012,0.0233223295741514,0.0,0.0,0.5284419336541436,0.0,0.0,0.014103416981948296,0.0,0.014707614365368256,0.012075003171144533,0.010761215755780604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010519984741796407,0.0,0.0,0.0,0.0,0.0,0.30374575410060534,0.05043158875954475,0.0,0.0,0.0,0.0,0.01702619599359473,0.0,0.0,0.011864890274504063,0.0118236467444537,0.0,0.0,0.047412802053755636,0.0,0.0,0.0,0.0,0.013136648532877283,0.0,0.0,0.011701417475539013,0.0,0.0,0.0,0.0,0.024662744359999572,0.011621152414602253,0.0,0.02254280151601791,0.13656447889921308,0.0,0.0,0.04864371239143679,0.05377466579025072,0.0,0.010691402077809857,0.06618716588100684,0.08862684842892456,0.03986519880117083,0.01323743317620137,0.035970530715958404,0.0,0.013932291451855549,0.0,0.0,0.0,0.0,0.0,0.0,0.05986166959314667,0.06774606381238951,0.08093673020314761,0.011385968547543333,0.0,0.08393309515448352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028918723637088452,0.0,0.0,0.0,0.01323743317620137,0.0,0.014582338708909027,0.0,0.020302472347193044,0.0,0.035765883916963975,0.0,0.0,0.13205840295653448,0.0,0.0,0.0,0.0,0.08054479284149005,0.0,0.0,0.0,0.0,0.0,0.04374701612672709,0.24389153210280312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012247968963881703,0.0,0.0,0.0,0.0,0.0,0.029670552735521386,0.07685863397719166,0.0,0.0,0.0,0.0,0.0
7,Center,High Factuality,Nexstar Media Group,https://thehill.com/homenews/lgbtq/4471326-utah-board-education-member-censured-questioning-student-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Center,High Factuality,News-Press & Gazette Company,https://kvia.com/news/ap-national/2024/02/15/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.07295737682807413,0.0,0.0,0.0,0.09333435139661568,0.09795481983359479,0.09625954305965165,0.0,0.0,0.0,0.0,0.09526701317936555,0.0,0.0,0.0,0.0,0.0,0.0,0.19010032043634667,0.0,0.10300143507826892,0.0,0.0435307403776901,0.0,0.0,0.0,0.0,0.0,0.04949888345252445,0.0,0.0,0.0,0.34082822123816264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11156767140057795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38773129774456166,0.05150071753913446,0.0,0.04650938544667746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06455724507515082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474700641169381,0.0,0.0,0.16735150710086694,0.0,0.0,0.0,0.05491466641730402,0.0,0.0,0.05407224509235298,0.12067426784389171,0.0,0.05407224509235298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055345801829488846,0.0,0.04650938544667746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059063577184809986,0.0,0.0,0.0,0.0,0.0,0.059565912982693814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055345801829488846,0.0,0.0,0.06580184725340583,0.0,0.0,0.0,0.0,0.0,0.0,0.1992495451991641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12558080825970955,0.0,0.0,0.0,0.0,0.0
9,Lean Right,Mixed Factuality,Deseret Management Corporation,https://mynorthwest.com/3950995/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
