,bias,factuality,owner,source,owner_type,transgend,tran,gender,lgbtq,sex,school,marriag,right,sunak,alberta,legal,say,greec,time,question,ghey,brianna,polici,member,colleg,propos,student,board,mother,utah,youth,new,ralli,senat,plan,initi,state,critic,surgeri,jibe,protest,girl,identifi,game,peopl,apolog,japan,activist,countri,orthodox,survey,face,rishi,affirm,divers,oppos,leader,vote,commun,chang,parent,progress,recognit,inclus,rule,transit,support,resign,kentucki,follow,remark,shooter,equiti,greek,group,hundr,limit,year,court
0,Center,High Factuality,Government of the United Kingdom,https://www.bbc.co.uk/news/world-europe-68310126?utm_source=ground.news&utm_medium=referral,Government,0.0,0.0,0.0,0.0,0.4212484024769008,0.0,0.44470379311154534,0.0,0.0,0.0,0.0,0.0,0.4968662618104235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Lean Left,Mixed Factuality,Scott Trust Limited,https://www.theguardian.com/world/2024/feb/15/greece-becomes-first-orthodox-christian-country-to-legalise-same-sex-marriage?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.0,0.2636262030143656,0.0,0.27830508496827194,0.0,0.0,0.0,0.0,0.0,0.3109494664830363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3520765233278042,0.3520765233278042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Lean Left,High Factuality,The Hindu Group,https://www.thehindu.com/news/international/greece-legalises-same-sex-marriage-in-landmark-change/article67851163.ece?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.0,0.3073746277021603,0.0,0.32448945097873744,0.0,0.0,0.0,0.0,0.0,0.36255112504579207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41867106388382336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Center,High Factuality,Bell Media,https://www.ctvnews.ca/world/greece-becomes-first-orthodox-christian-country-to-legalize-same-sex-civil-marriage-1.6770770?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.24510749882302313,0.0,0.2587552470365963,0.0,0.0,0.0,0.2786445567224031,0.0,0.289106489106689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32734453191848056,0.32734453191848056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Lean Left,Mixed Factuality,Evgeny Lebedev,https://www.independent.co.uk/news/world/europe/greece-same-sex-marriage-ukraine-russia-b2497280.html?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.0,0.2425620118338648,0.0,0.25606802564242886,0.0,0.0,0.0,0.0,0.0,0.2861040644153348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3239449980365235,0.3239449980365235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3303906256396939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Center,High Factuality,The Woodbridge Company,https://www.reuters.com/world/europe/yes-equality-says-greek-pm-ahead-same-sex-marriage-vote-2024-02-15/?utm_source=ground.news&utm_medium=referral,Private Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lean Left,High Factuality,Independent Media,https://apnews.com/article/transgender-athlete-utah-school-board-censure-63e25c6c71d9f18586bd8a036dc29a52?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.22738101470253516,0.0,0.0,0.25663621175991347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296331283729838,0.0,0.0,0.0,0.3041085366818911,0.0,0.0,0.31275162227742387,0.3083099747846136,0.0,0.31275162227742387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Center,High Factuality,Nexstar Media Group,https://thehill.com/homenews/lgbtq/4471326-utah-board-education-member-censured-questioning-student-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.2497683144093329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32550723436951134,0.0,0.0,0.0,0.3340502139278994,0.0,0.0,0.34354427359385686,0.33866531389297333,0.0,0.34354427359385686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Center,High Factuality,News-Press & Gazette Company,https://kvia.com/news/ap-national/2024/02/15/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.23231557326562052,0.0,0.0,0.2622056583471511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3027621815581027,0.0,0.0,0.0,0.3107082142572337,0.0,0.0,0.0,0.31500083078307206,0.0,0.3195388696553409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35410054127031704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Lean Right,Mixed Factuality,Deseret Management Corporation,https://mynorthwest.com/3950995/utah-school-board-seeks-resignation-of-member-who-questioned-athletes-gender/?utm_source=ground.news&utm_medium=referral,Corporation,0.0,0.0,0.23231557326562052,0.0,0.0,0.2622056583471511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3027621815581027,0.0,0.0,0.0,0.3107082142572337,0.0,0.0,0.0,0.31500083078307206,0.0,0.3195388696553409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35410054127031704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
